,id_anonimo,Site da Disciplina,Unnamed: 3,Plano de Ensino,Unnamed: 5,Livro Texto,Unnamed: 7,Thonny,Unnamed: 9,OpCoders - Corretor Automático,Unnamed: 11,Frequência,Unnamed: 13,Notas,Unnamed: 15,Jogo em Python,Unnamed: 17,Corretor Automático - Prática 2_3,Unnamed: 19,Questões,Unnamed: 21,Respostas,Unnamed: 23,Exercícios,Unnamed: 25,Respostas.1,Unnamed: 27,Entrega exercicios,Unnamed: 29,Simulado,Unnamed: 31,Solução Ex 3,Unnamed: 33
32,c829f7bdfb5a04db470c9fcf3254316c,Não concluído,2024-11-11 14:35:50,Não concluído,2024-11-13 13:50:49,Não concluído,,Não concluído,,Não concluído,,Não concluído,2025-01-27 15:23:16,Não concluído,2025-02-04 15:31:52,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
33,ec6ba9120586581d5b5dc6516294531d,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
34,d064bb60fb92bb750ecce1dfe51524c0,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
36,958ac5e05cee1bfb18dc6352edc6a6db,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
37,489b37a4ebc74e0bff6e452c47bcfae0,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-10 17:11:34,Não concluído,,Não concluído,
38,6dbd99bdb66fedb6967b21771722412c,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
39,b107f22e74e4a1fb20b258a414b68221,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-10 16:58:24,Não concluído,,Não concluído,
40,88285ba5ac94eee8305e30fde78baad3,Concluído,2025-01-29 08:26:18,Concluído,2024-11-25 18:58:38,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
41,24f15bb9ec8674610a5bafde6b0ef150,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-02-12 05:04:32,Concluído,2025-02-12 05:04:32,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
42,0b4f0925a5c2de8e7a8c3100a3c55410,Concluído,2024-11-26 14:23:02,Concluído,2024-11-26 14:23:03,Concluído,2024-11-26 14:23:03,Concluído,2024-11-26 14:23:04,Concluído,2024-11-26 14:23:04,Concluído,2024-11-26 14:23:05,Concluído,2024-11-26 14:23:07,Concluído,2024-11-26 14:23:12,Concluído,2024-11-26 14:23:18,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-10 16:53:33,Não concluído,,Não concluído,
43,4b2b59aec27a186a46c722d0020c6533,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
