,id_anonimo,Boas vindas!!!,Unnamed: 3,Plano de ensino (unificado),Unnamed: 5,Cronograma detalhado,Unnamed: 7,Diário de classe,Unnamed: 9,Lançamento de notas e frequência no sistema acadêmico,Unnamed: 11,Cálculo de notas para Exame Especial,Unnamed: 13,Escolha para o EXAME ESPECIAL,Unnamed: 15,Página da disciplina,Unnamed: 17,Agenda do Professor,Unnamed: 19,"Atendimentos: Extraclase, Monitoria e Tutoria",Unnamed: 21,opCoders Judge (Corretor automático de exercícios práticos),Unnamed: 23,Informações sobre recursos didáticos,Unnamed: 25,Material Didático Unificado,Unnamed: 27,Conteúdo teórico (livro texto),Unnamed: 29,Resumo para a Prova Teórica 1 (PT1),Unnamed: 31,Resumo para a Prova Teórica 1 (PT2),Unnamed: 33,Bibliografia básica,Unnamed: 35,[T] Apresentação da disciplina,Unnamed: 37,Material complementar - Videoaula: Apresentação da disciplina (29 min),Unnamed: 39,[T] Cap. 1 - Introdução,Unnamed: 41,Material complementar - Videoaula: Introdução (37 min),Unnamed: 43,[AP-1.1] Ambiente de programação,Unnamed: 45,[T] Caps. 2 e 3 -Conceitos básicos,Unnamed: 47,Material complementar - Videoaula: Conceitos básicos (120 min),Unnamed: 49,[AP-1.2] Conhecendo o corretor automático,Unnamed: 51,"[AP-2_3] Variáveis, expressões, entrada e saída",Unnamed: 53,[T] Estruturas de Decisão,Unnamed: 55,Material complementar - Videoaula: Estruturas de Decisão (87 min),Unnamed: 57,[AP-4.1] Estruturas de Decisão Simples,Unnamed: 59,[AP-4.2] Estruturas de Decisão Aninhadas,Unnamed: 61,[T] Estrutura de Repetição: WHILE,Unnamed: 63,Material complementar - Videoaula: Estrutura de Repetição: WHILE (79 min),Unnamed: 65,Questionário estrutura WHILE,Unnamed: 67,[AP-5.1] Estrutura de Repetição: WHILE,Unnamed: 69,[T] Estrutura de Repetição: FOR,Unnamed: 71,Material complementar - Videoaula: Estrutura de Repetição: FOR (69 min),Unnamed: 73,[AP-5.2] Estrutura de Repetição: FOR,Unnamed: 75,[T] Estrutura de Repetição - Laços Aninhados,Unnamed: 77,Material complementar - Videoaula: Estrutura de Repetição: Laços Aninhados (46 min),Unnamed: 79,[AP-5.3] Estrutura de Repetição - Laços Aninhados,Unnamed: 81,[T] Implementação de Funções,Unnamed: 83,Material complementar - Videoaula: Implementação de Funções (57 min),Unnamed: 85,[AP-6.1] Implementação de Funções,Unnamed: 87,[AP-6.2] Implementação de Funções,Unnamed: 89,Biblioteca padrão para Vetores e Matrizes,Unnamed: 91,[T] Estruturas Homogêneas: VETOR,Unnamed: 93,Material complementar - Videoaula: Estruturas Homogêneas: VETOR (100 min),Unnamed: 95,[AP-7.1] Estrutura Homogênea - VETOR,Unnamed: 97,[AP-7.2] Estrutura Homogênea - VETOR,Unnamed: 99,[T] Estruturas Homogêneas: MATRIZ,Unnamed: 101,Material complementar - Videoaula: Estruturas Homogêneas: MATRIZ (61 min),Unnamed: 103,[AP-7.3] Estrutura Homogênea - MATRIZ,Unnamed: 105,[AP-7.4] Estrutura Homogênea - MATRIZ,Unnamed: 107,[T] Estruturas Heterogêneas: REGISTRO,Unnamed: 109,Material complementar - Videoaula: Estruturas Heterogêneas: REGISTRO (25 min),Unnamed: 111,[AP-8] Estruturas Heterogêneas - REGISTRO,Unnamed: 113,Unnamed: 114,Unnamed: 115
75,266d3bccc5f5343cac682f8d19e2b13f,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-01-27 13:26:51,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-01-30 16:14:07,Não concluído,,Não concluído,,Concluído,2025-02-10 16:49:32,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
78,b20323b234db56957e7e8cfd2b41634c,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-12 15:37:49,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-02-06 11:00:18,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-10 01:47:02,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
79,052819bca9c2f53d4aacd70d60e8aecf,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,2024-12-17 20:18:05,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-11-25 21:19:35,Concluído,2024-11-25 21:26:51,Concluído,2024-11-25 21:38:28,Concluído,2024-11-25 21:39:02,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-16 21:02:47,Concluído,2024-12-16 21:04:04,Não concluído,,Concluído,2024-12-16 21:29:56,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
81,e39d6c114d13fb9aadff137f077f9537,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-11-15 15:00:28,Concluído,2024-11-17 17:56:41,Concluído,2024-11-17 17:56:43,Concluído,2024-11-17 17:56:44,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-11 20:00:42,Concluído,2024-12-11 19:41:02,Não concluído,,Concluído,2024-12-11 20:01:11,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
82,457f67ebcaa87dc3f18f15816541bd9b,Não concluído,2024-11-22 11:06:47,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-10 12:05:08,Concluído,2024-12-10 12:06:57,Não concluído,,Concluído,2024-12-10 12:06:25,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
83,f4821237b6d297f7c3a16c831bc0276e,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-10 13:57:09,Não concluído,,Concluído,2025-01-21 19:36:40,Não concluído,,Concluído,2025-02-01 13:35:27,Concluído,2025-01-21 19:36:03,Não concluído,,Concluído,2025-02-04 15:07:10,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
85,3a2d992b430976dc3c53bed1d1f1d5f2,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
87,cbcf60fbe94690e73e8e60daefb62e34,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
88,da11bfd131dba4b2cfaf266d57bc7ed0,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-12 07:17:57,Concluído,2024-12-10 15:24:26,Concluído,2024-12-13 15:51:09,Concluído,2024-12-13 15:51:11,Concluído,2025-01-02 17:05:20,Não concluído,,Concluído,2025-01-02 17:05:22,Não concluído,,Não concluído,,Concluído,2025-02-10 13:05:02,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
89,a6a860a9902b28ba9007c34d306b75a7,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-10 11:18:53,Concluído,2024-12-12 11:31:07,Concluído,2024-12-12 15:26:52,Concluído,2024-12-12 16:01:18,Concluído,2024-12-16 09:17:45,Concluído,2025-01-27 08:17:04,Concluído,2025-01-27 09:04:52,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
90,855f7c3e3ceed183001bf3ca81f5834e,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-11-26 14:15:23,Concluído,2024-11-26 14:15:23,Concluído,2024-11-26 14:15:21,Concluído,2024-11-19 18:09:48,Concluído,2024-11-26 14:15:19,Concluído,2024-11-26 14:15:19,Concluído,2024-11-26 14:15:20,Concluído,2024-11-26 14:15:36,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-10 17:10:40,Concluído,2024-12-09 12:28:44,Não concluído,,Concluído,2024-12-09 12:28:33,Não concluído,,Concluído,2025-01-30 19:31:51,Concluído,2025-03-28 22:04:44,Não concluído,,Concluído,2025-02-07 16:28:47,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-29 08:54:20,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-29 08:54:19,Não concluído,,Não concluído,,Não concluído,,Não concluído,
91,b6ba397932fff0e953e940d417cd99e2,Não concluído,,Concluído,2024-11-25 22:09:23,Concluído,2024-11-25 22:09:23,Concluído,2024-11-25 22:09:24,Não concluído,,Concluído,2024-11-25 22:09:25,Concluído,2024-11-25 22:09:25,Concluído,2024-11-25 22:09:26,Concluído,2024-11-25 22:09:27,Concluído,2024-11-25 22:09:27,Concluído,2024-11-25 22:09:28,Concluído,2024-11-25 22:09:28,Concluído,2024-11-24 18:00:04,Concluído,2024-11-24 18:00:05,Não concluído,,Não concluído,,Concluído,2024-11-24 18:00:06,Concluído,2024-11-24 18:00:08,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-12 10:40:17,Concluído,2024-12-12 10:40:15,Concluído,2024-12-13 16:41:47,Concluído,2024-12-12 10:42:03,Concluído,2024-12-16 21:34:07,Concluído,2024-12-16 21:34:11,Concluído,2024-12-16 21:34:08,Concluído,2025-02-03 17:57:19,Concluído,2025-02-03 17:58:09,Concluído,2025-02-03 17:57:36,Concluído,2025-03-07 18:19:27,Concluído,2025-03-07 18:19:27,Concluído,2025-03-07 18:19:28,Concluído,2025-03-07 18:19:29,Não concluído,,Concluído,2025-03-07 18:22:48,Concluído,2025-03-07 18:22:49,Concluído,2025-03-07 18:22:50,Concluído,2025-03-07 18:22:51,Concluído,2025-03-20 13:48:28,Concluído,2025-03-20 13:49:17,Concluído,2025-03-20 13:50:41,Concluído,2025-03-20 13:51:06,Não concluído,,Não concluído,,Não concluído,
93,8e1a4321c5ae017e199b595daa42d67b,Concluído,2024-11-20 16:33:48,Concluído,2024-11-20 16:29:13,Concluído,2024-11-20 16:29:18,Concluído,2024-11-20 16:30:33,Não concluído,,Concluído,2024-11-20 16:30:34,Concluído,2025-02-12 20:58:33,Concluído,2024-11-20 16:30:50,Concluído,2024-11-20 16:31:11,Concluído,2024-11-20 16:31:15,Concluído,2024-11-20 16:32:23,Concluído,2024-11-20 16:32:27,Concluído,2024-11-20 16:32:30,Concluído,2024-11-20 16:32:55,Concluído,2025-03-28 21:56:59,Concluído,2025-03-28 21:57:00,Concluído,2024-11-20 16:33:27,Concluído,2024-11-20 16:33:29,Concluído,2024-11-28 16:06:53,Concluído,2024-11-20 16:33:40,Concluído,2024-11-20 16:33:41,Concluído,2024-11-20 16:33:42,Concluído,2024-11-20 16:33:42,Concluído,2024-11-20 16:33:43,Concluído,2024-11-20 16:33:44,Concluído,2024-11-20 16:33:45,Concluído,2024-11-20 16:33:45,Concluído,2025-02-12 20:58:41,Concluído,2025-02-12 20:58:42,Concluído,2025-02-12 20:58:42,Concluído,2025-02-12 20:58:43,Concluído,2024-12-12 15:55:03,Concluído,2024-12-10 18:47:11,Concluído,2025-02-12 20:58:45,Concluído,2024-12-10 18:53:44,Concluído,2024-12-19 15:25:26,Concluído,2025-02-12 20:58:59,Concluído,2025-02-12 20:59:03,Concluído,2025-02-12 20:59:08,Concluído,2025-02-12 20:59:10,Concluído,2025-02-12 20:59:15,Concluído,2025-02-12 20:58:53,Concluído,2025-02-12 20:58:53,Concluído,2025-02-12 20:58:54,Concluído,2025-02-12 20:58:54,Concluído,2025-03-28 21:56:51,Concluído,2025-02-27 15:29:31,Concluído,2025-03-28 21:56:48,Concluído,2025-03-28 21:56:49,Concluído,2025-03-28 21:56:49,Concluído,2025-03-28 21:56:50,Concluído,2025-03-28 21:56:50,Concluído,2025-03-28 21:56:50,Concluído,2025-03-28 21:56:51,Não concluído,,Não concluído,,Não concluído,
94,efeeff47666bf57925197b703147ecdb,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-11-24 18:40:45,Concluído,2024-11-24 18:40:41,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-11 22:57:13,Concluído,2024-12-12 10:15:15,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-01-10 23:17:45,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
95,4df8dba9c655186ad3aa6ee2431d944d,Concluído,2024-11-13 18:48:45,Concluído,2024-11-13 18:13:58,Concluído,2024-11-13 18:14:16,Concluído,2025-02-20 13:13:26,Não concluído,,Concluído,2025-02-20 13:13:27,Concluído,2025-02-20 13:13:27,Concluído,2025-02-20 13:13:28,Concluído,2025-02-20 13:13:29,Concluído,2025-02-20 13:13:30,Concluído,2025-02-20 13:13:30,Concluído,2025-02-20 13:13:31,Concluído,2024-12-16 20:08:37,Concluído,2024-11-13 18:13:32,Não concluído,,Não concluído,,Concluído,2024-12-16 20:08:39,Concluído,2024-12-16 20:08:41,Concluído,2024-12-16 20:08:31,Concluído,2024-11-21 14:16:32,Concluído,2024-11-21 14:16:34,Concluído,2024-11-21 14:16:35,Concluído,2024-11-21 14:16:38,Concluído,2024-11-27 10:57:09,Concluído,2024-11-27 10:57:09,Concluído,2024-11-27 10:57:10,Concluído,2024-11-27 10:57:11,Concluído,2024-12-16 18:50:47,Concluído,2024-12-16 18:50:48,Concluído,2024-12-16 18:50:50,Concluído,2024-12-16 18:50:50,Concluído,2024-12-16 18:51:03,Concluído,2024-12-16 18:51:02,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-01-31 20:47:10,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
96,51e24445c9a11304892c7a2abf53e31c,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-01-30 16:18:22,Não concluído,,Não concluído,,Concluído,2025-01-30 16:14:04,Concluído,2025-02-21 20:31:40,Não concluído,,Concluído,2025-02-21 20:23:51,Concluído,2025-02-21 20:31:02,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
97,ecdcdbade721c4bc6246c075bb9ae73b,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-13 09:15:34,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-01-31 16:57:39,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
98,4466d807becfb51d3a84d0e30cd012fa,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
99,eb65b2a1007addba0c618445f4aa5375,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-11 18:24:47,Não concluído,,Concluído,2025-01-31 21:05:55,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-02-06 16:13:20,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
100,fb44a1909303ed9f47c402531e17d0f5,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-11 19:11:25,Concluído,2024-12-11 19:11:23,Não concluído,,Concluído,2024-12-11 19:11:19,Concluído,2025-02-04 15:25:53,Concluído,2025-02-04 15:25:54,Concluído,2025-02-04 15:25:56,Concluído,2025-02-04 15:25:58,Concluído,2025-02-04 15:25:59,Concluído,2025-02-04 15:26:00,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
101,e7bdeffcd4f6b9b543909b9ac27825c7,Concluído,2024-12-18 09:14:08,Concluído,2024-12-18 09:14:06,Concluído,2024-12-18 09:14:07,Concluído,2024-12-18 09:14:10,Concluído,2025-04-13 08:51:55,Concluído,2024-12-18 09:14:12,Concluído,2024-12-18 09:14:15,Concluído,2024-12-18 09:14:17,Concluído,2024-12-18 09:14:18,Concluído,2024-12-18 09:14:20,Concluído,2024-12-18 09:14:21,Concluído,2024-12-18 09:14:22,Concluído,2024-12-04 16:41:26,Concluído,2024-12-04 16:41:28,Concluído,2025-03-08 21:01:29,Concluído,2025-03-08 21:01:30,Concluído,2024-12-04 16:41:29,Concluído,2024-12-18 09:14:53,Concluído,2024-12-04 16:41:22,Concluído,2024-11-14 13:35:06,Concluído,2024-11-14 13:35:09,Concluído,2024-11-14 13:35:35,Concluído,2024-11-14 13:35:54,Concluído,2024-11-14 18:17:05,Concluído,2024-11-14 18:17:12,Concluído,2024-11-19 16:59:27,Concluído,2024-11-18 13:22:15,Concluído,2024-11-26 17:02:20,Concluído,2024-11-26 13:28:46,Concluído,2024-11-26 17:02:20,Concluído,2024-12-04 16:41:13,Concluído,2024-12-06 16:48:41,Concluído,2024-12-06 16:56:12,Concluído,2024-12-12 13:34:02,Concluído,2024-12-06 16:48:11,Concluído,2024-12-16 18:13:10,Concluído,2024-12-16 17:41:29,Concluído,2024-12-16 18:13:12,Concluído,2025-02-04 21:06:37,Concluído,2025-02-04 21:08:31,Concluído,2025-02-04 21:09:49,Concluído,2025-02-11 14:32:24,Concluído,2025-02-11 14:32:31,Concluído,2025-02-11 14:32:32,Concluído,2025-02-11 14:32:33,Concluído,2025-02-27 10:24:35,Concluído,2025-02-27 10:24:36,Concluído,2025-02-27 10:24:37,Concluído,2025-02-27 10:24:37,Concluído,2025-02-27 10:24:38,Concluído,2025-03-11 15:26:39,Concluído,2025-03-11 15:26:40,Concluído,2025-03-11 15:26:42,Concluído,2025-03-31 16:09:31,Concluído,2025-04-03 21:09:55,Concluído,2025-04-03 21:09:56,Concluído,2025-04-03 21:09:56
102,77483b77880073df98af468feb2389be,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-04-04 21:07:02,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-28 21:13:47,Não concluído,,Não concluído,,Concluído,2025-03-28 23:02:07,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
